Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
72,368835.300,337179.523,145,678,57,4,3.010,417
73,371522.300,337250.566,145,676,57,4,3.009,417
74,372134.300,336040.523,145,677,57,4,3.008,417
75,371974.300,334855.181,109,667,57,4,3.011,417
76,377658.300,333913.497,111,677,57,4,3.009,417
77,377427.300,331407.099,111,673,57,4,3.006,417
78,371591.300,327029.374,111,704,57,4,3.006,417
79,365791.300,324203.643,111,735,57,4,3.009,417
80,362496.300,320373.898,111,717,57,4,3.008,417
81,353710.300,317879.753,111,745,57,4,3.005,417
82,340176.300,311538.075,47,779,57,4,3.004,417
83,335072.300,307174.410,47,826,57,4,3.006,417
84,326948.400,304662.493,417,897,57,4,3.006,417
85,325784.400,299456.362,417,928,57,4,3.006,417
86,325642.400,297200.363,417,949,57,4,3.006,417
87,329485.400,297111.827,417,962,57,4,3.008,417
88,329174.400,296019.448,417,1001,57,4,3.010,417
89,334124.400,295097.257,417,1045,57,4,3.011,417
90,337823.400,294333.242,417,1087,57,4,3.014,417
91,340631.400,294028.676,416,1117,57,4,3.014,416
92,343260.400,294542.420,417,1153,57,4,3.011,417
93,346532.400,293093.949,417,1207,57,4,3.015,417
94,348009.400,294938.388,417,1187,57,4,3.019,417
95,350474.400,296688.521,417,1202,57,4,3.026,289
96,352461.400,298683.005,413,1215,57,4,3.038,289
97,355371.400,300893.312,417,1239,57,4,3.042,417
98,356831.400,304110.872,417,1220,57,4,3.052,417
99,357226.400,304521.609,415,1221,57,4,3.066,415
100,360420.400,308168.023,416,1193,57,4,3.072,415
101,361327.400,310819.661,413,1181,57,4,3.075,413
102,362491.400,314366.095,416,1150,57,4,3.087,353
103,362708.400,319263.051,416,1101,57,4,3.104,289
104,361946.400,323716.860,416,1038,57,4,3.120,289
105,361574.400,325729.896,416,1001,57,4,3.142,289
106,362784.400,330946.314,416,932,57,4,3.171,289
107,362486.400,332248.556,424,926,57,4,3.169,289
108,361839.400,335455.318,416,888,57,4,3.182,289
109,364766.400,339974.656,401,844,57,4,3.201,289
110,372601.400,343041.529,401,798,57,4,3.222,289
111,372960.400,342214.796,401,795,57,4,3.223,289
112,382654.300,344481.081,145,743,57,4,3.236,289
113,394724.300,345624.347,145,707,57,4,3.240,289
114,398793.300,343986.546,145,691,57,4,3.230,353
115,402190.300,344504.364,145,668,57,4,3.241,353
116,399061.300,341736.023,145,655,57,4,3.240,353
117,399389.300,340715.434,145,673,57,4,3.238,201
118,395440.300,338975.745,145,670,57,4,3.241,201
119,392375.300,339567.619,145,660,57,4,3.244,201
120,389592.300,339828.002,145,665,57,4,3.264,351
121,385978.300,335144.317,145,694,57,5,3.245,1193
122,372818.300,329625.496,145,754,57,5,3.227,1193
123,373866.300,329778.420,145,768,57,5,3.224,1193
124,375845.300,331339.715,145,747,57,5,3.244,1193
125,374537.300,330399.059,145,737,57,5,3.237,1193
126,368535.300,328231.204,145,726,57,4,3.239,193
127,362431.300,325843.449,145,751,57,4,3.232,193
128,355812.300,326103.574,107,774,57,4,3.240,193
129,346414.300,326478.647,107,797,57,4,3.244,193
130,345086.400,328933.926,424,798,57,4,3.260,193
131,346491.400,328519.355,412,819,57,4,3.262,193
132,345499.400,328255.095,412,805,57,4,3.267,193
133,345667.400,328796.283,412,789,57,4,3.281,193
134,349496.400,330707.251,424,793,57,4,3.292,193
135,351364.400,333197.320,414,761,57,4,3.305,201
136,350238.400,330935.648,416,779,57,4,3.297,201
137,350399.400,332533.292,416,762,57,4,3.310,201
138,350848.400,333597.392,416,726,57,4,3.322,201
139,351722.400,334130.298,412,729,57,4,3.324,201
